"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-08-05","15:15:00",6307.65,"1 Aug 5 6320 C STO 0.40 | 1 Aug 5 6330 C BTO 0.10",30,6299.19,"2025-08-05","16:00:00",0,"Expired",30,1,23420,970,"",4,1,17.68,17.82,6.69,-28.98,100,0
"2025-08-04","15:15:00",6320.78,"1 Aug 4 6330 C STO 0.60 | 1 Aug 4 6340 C BTO 0.15",45,6329.94,"2025-08-04","16:00:00",0,"Expired",45,1,23390,955,"",4,3,17.68,17.61,33.7,49.07,100,-277.78
"2025-08-01","15:15:00",6234.75,"1 Aug 1 6260 C STO 0.80 | 1 Aug 1 6270 C BTO 0.40",40,6238.01,"2025-08-01","16:00:00",0,"Expired",40,1,23345,960,"",2,1,20.95,20.65,-52.11,-52.53,100,-137.5
"2025-07-31","15:15:00",6355.47,"1 Jul 31 6380 C STO 1.15 | 1 Jul 31 6390 C BTO 0.50",65,6339.39,"2025-07-31","16:00:00",0,"Expired",65,1,23305,935,"",2.3,1,16.48,16.67,64.12,-71.55,100,-15.38
"2025-07-30","15:15:00",6353.92,"1 Jul 30 6375 C STO 1.05 | 1 Jul 30 6385 C BTO 0.35",70,6362.9,"2025-07-30","16:00:00",0,"Expired",70,1,23240,930,"",3,1,16.5,16.06,10.37,-27.31,100,-14.29
"2025-07-29","15:15:00",6376.19,"1 Jul 29 6385 C STO 0.45 | 1 Jul 29 6395 C BTO 0.10",35,6370.86,"2025-07-29","16:00:00",0,"Expired",35,1,23170,965,"",4.5,1,15.71,15.96,15.85,-29.43,100,0
"2025-07-28","15:15:00",6379.57,"1 Jul 28 6390 C STO 0.25 | 1 Jul 28 6400 C BTO 0.10",15,6389.77,"2025-07-28","16:00:00",0,"Expired",15,1,23135,985,"",2.5,3,15.3,15.07,9.05,-18.12,100,-133.33
"2025-07-25","15:15:00",6394.19,"1 Jul 25 6405 C STO 0.35 | 1 Jul 25 6415 C BTO 0.10",25,6388.64,"2025-07-25","16:00:00",0,"Expired",25,1,23120,975,"",3.5,1,15.06,14.95,6.66,24.18,100,-20
"2025-07-24","15:15:00",6374.54,"1 Jul 24 6385 C STO 0.40 | 1 Jul 24 6395 C BTO 0.10",30,6363.35,"2025-07-24","16:00:00",0,"Expired",30,1,23095,970,"",4,1,15.11,15.51,9.69,5.94,100,-50
"2025-07-23","15:15:00",6352.31,"1 Jul 23 6360 C STO 0.50 | 1 Jul 23 6370 C BTO 0.10",40,6358.91,"2025-07-23","16:00:00",0,"Expired",40,1,23065,960,"",5,1,15.42,15.39,17.28,25.41,100,-25
"2025-07-22","15:15:00",6311.02,"1 Jul 22 6320 C STO 0.55 | 1 Jul 22 6330 C BTO 0.15",40,6309.62,"2025-07-22","16:00:00",0,"Expired",40,1,23025,960,"",3.67,1,16.59,16.57,1,4.42,100,-100
"2025-07-21","15:15:00",6316.7,"1 Jul 21 6330 C STO 0.40 | 1 Jul 21 6340 C BTO 0.10",30,6305.6,"2025-07-21","16:00:00",0,"Expired",30,1,22985,970,"",4,1,16.56,16.72,7.95,11.96,100,-16.67
"2025-07-18","15:15:00",6292.17,"1 Jul 18 6305 C STO 0.25 | 1 Jul 18 6315 C BTO 0.10",15,6296.79,"2025-07-18","16:00:00",0,"Expired",15,1,22955,985,"",2.5,1,16.63,16.44,15.59,-20.78,100,-200
"2025-07-17","15:15:00",6303.47,"1 Jul 17 6315 C STO 0.45 | 1 Jul 17 6325 C BTO 0.15",30,6297.36,"2025-07-17","16:00:00",0,"Expired",30,1,22940,970,"",3,1,16.63,16.63,-0.3,40.07,100,0
"2025-07-16","15:15:00",6261.81,"1 Jul 16 6275 C STO 0.35 | 1 Jul 16 6285 C BTO 0.10",25,6263.7,"2025-07-16","16:00:00",0,"Expired",25,1,22910,975,"",3.5,1,16.98,17.09,10.74,7.31,100,-100
"2025-07-15","15:15:00",6256.61,"1 Jul 15 6270 C STO 0.30 | 1 Jul 15 6280 C BTO 0.10",20,6243.76,"2025-07-15","16:00:00",0,"Expired",20,1,22885,980,"",3,1,17.02,17.3,26.73,-38.68,100,0
"2025-07-14","15:15:00",6270.55,"1 Jul 14 6280 C STO 0.30 | 1 Jul 14 6290 C BTO 0.10",20,6268.56,"2025-07-14","16:00:00",0,"Expired",20,1,22865,980,"",3,1,17.1,17.2,-4.6,15.4,100,0
"2025-07-11","15:15:00",6262.46,"1 Jul 11 6275 C STO 0.40 | 1 Jul 11 6285 C BTO 0.10",30,6259.75,"2025-07-11","16:00:00",0,"Expired",30,1,22845,970,"",4,1,16.12,16.31,-24.78,6.78,100,-100
"2025-07-10","15:15:00",6285.85,"1 Jul 10 6295 C STO 0.55 | 1 Jul 10 6305 C BTO 0.15",40,6280.46,"2025-07-10","16:00:00",0,"Expired",40,1,22815,960,"",3.67,1,15.77,15.73,3.54,19.05,100,0
"2025-07-09","15:15:00",6253.92,"1 Jul 9 6265 C STO 0.50 | 1 Jul 9 6275 C BTO 0.10",40,6263.26,"2025-07-09","16:00:00",0,"Expired",40,1,22775,960,"",5,1,15.91,15.9,17.81,10.59,100,-187.5
"2025-07-08","15:15:00",6224.8,"1 Jul 8 6235 C STO 0.55 | 1 Jul 8 6245 C BTO 0.15",40,6225.52,"2025-07-08","16:00:00",0,"Expired",40,1,22735,960,"",3.67,1,16.78,16.87,4.05,-9.23,100,-37.5
"2025-07-07","15:15:00",6219.57,"1 Jul 7 6235 C STO 0.40 | 1 Jul 7 6245 C BTO 0.15",25,6229.98,"2025-07-07","16:00:00",0,"Expired",25,1,22695,975,"",2.67,1,17.88,17.73,-20.31,-39.47,100,-20
"2025-07-02","15:15:00",6223.21,"1 Jul 2 6235 C STO 0.35 | 1 Jul 2 6245 C BTO 0.15",20,6227.42,"2025-07-02","16:00:00",0,"Expired",20,1,22670,980,"",2.33,1,16.59,16.62,-4.13,29.33,100,-25
"2025-07-01","15:15:00",6197.28,"1 Jul 1 6215 C STO 0.55 | 1 Jul 1 6225 C BTO 0.20",35,6198.01,"2025-07-01","16:00:00",0,"Expired",35,1,22650,965,"",2.75,1,16.77,16.71,-17.7,10.03,100,-142.86
