"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Gap","Movement","Max Profit","Max Loss"
"2024-07-18","15:15:00",5526.28,"1 Jul 19 5455 P STO 2.50 | 1 Jul 19 5590 C STO 2.75",525,5505,"2024-07-19","16:00:00",0,"Expired",525,1,125713,104153.6,"1dte_strangle_10delta_1515",20.29,-82.28,100,-62.86
"2024-07-18","15:15:00",5526.28,"1 Jul 19 5475 P STO 4.20 | 1 Jul 19 5580 C STO 3.90",810,5505,"2024-07-19","16:00:00",0,"Expired",810,1,125188,105397.6,"1dte_strangle_15delta_1515",20.29,-82.28,100,-48.15
"2024-07-18","15:15:00",5526.28,"1 Jul 19 5485 P STO 5.65 | 1 Jul 19 5580 C STO 3.90",955,5505,"2024-07-19","16:00:00",0,"Expired",955,1,124378,106397.6,"1dte_strangle_20delta_1515",20.29,-82.28,100,-30.37
"2024-07-18","11:00:00",5586.44,"1 Jul 18 5545 P STO 1.50 | 1 Jul 18 5620 C STO 1.40",290,5544.59,"2024-07-18","16:00:00",41,"Expired",249,1,123423,108372.8,"0dte_strangle_10delta_1100",20.29,-22.12,85.86,-637.93
"2024-07-18","11:00:00",5586.44,"1 Jul 18 5555 P STO 2.55 | 1 Jul 18 5615 C STO 2.05",460,5544.59,"2024-07-18","16:00:00",1041,"Expired",-581,1,123174,108872.8,"0dte_strangle_15delta_1100",20.29,-22.12,14.13,-569.57
"2024-07-18","11:00:00",5586.44,"1 Jul 18 5560 P STO 3.30 | 1 Jul 18 5610 C STO 2.95",625,5544.59,"2024-07-18","16:00:00",1541,"Expired",-916,1,123755,109372.8,"0dte_strangle_20delta_1100 ",20.29,-22.12,8.8,-471.2
"2024-07-17","15:15:00",5593.89,"1 Jul 18 5540 P STO 2.25 | 1 Jul 18 5650 C STO 1.85",410,5544.59,"2024-07-18","16:00:00",0,"Expired",410,1,124671,106488.8,"1dte_strangle_10delta_1515",-57.13,-16.18,100,-318.29
"2024-07-17","15:15:00",5593.89,"1 Jul 18 5550 P STO 3.30 | 1 Jul 18 5640 C STO 3.05",635,5544.59,"2024-07-18","16:00:00",541,"Expired",94,1,124261,107488.8,"1dte_strangle_15delta_1515",-57.13,-16.18,75.59,-309.45
"2024-07-17","15:15:00",5593.89,"1 Jul 18 5560 P STO 4.90 | 1 Jul 18 5640 C STO 3.05",795,5544.59,"2024-07-18","16:00:00",1541,"Expired",-746,1,124167,108488.8,"1dte_strangle_20delta_1515",-57.13,-16.18,75.47,-349.06
"2024-07-17","11:00:00",5600.39,"1 Jul 17 5565 P STO 1.50 | 1 Jul 17 5635 C STO 1.40",290,5588.27,"2024-07-17","16:00:00",0,"Expired",290,1,124913,108546.8,"0dte_strangle_10delta_1100",-57.13,-9.68,100,0
"2024-07-17","11:00:00",5600.39,"1 Jul 17 5570 P STO 2.00 | 1 Jul 17 5630 C STO 1.95",395,5588.27,"2024-07-17","16:00:00",0,"Expired",395,1,124623,109046.8,"0dte_strangle_15delta_1100",-57.13,-9.68,100,0
"2024-07-17","11:00:00",5600.39,"1 Jul 17 5575 P STO 2.65 | 1 Jul 17 5625 C STO 2.75",540,5588.27,"2024-07-17","16:00:00",0,"Expired",540,1,124228,109546.8,"0dte_strangle_20delta_1100 ",-57.13,-9.68,100,0
"2024-07-16","15:15:00",5662.22,"1 Jul 17 5615 P STO 1.85 | 1 Jul 17 5705 C STO 1.50",335,5588.27,"2024-07-17","16:00:00",2673,"Expired",-2338,1,123688,108966.4,"1dte_strangle_10delta_1515",12.87,18.13,22.39,-789.55
"2024-07-16","15:15:00",5662.22,"1 Jul 17 5625 P STO 2.90 | 1 Jul 17 5695 C STO 2.75",565,5588.27,"2024-07-17","16:00:00",3673,"Expired",-3108,1,126026,109966.4,"1dte_strangle_15delta_1515",12.87,18.13,13.27,-603.54
"2024-07-16","15:15:00",5662.22,"1 Jul 17 5635 P STO 4.50 | 1 Jul 17 5695 C STO 2.75",725,5588.27,"2024-07-17","16:00:00",4673,"Expired",-3948,1,129134,110522.4,"1dte_strangle_20delta_1515",12.87,18.13,15.17,-581.38
