book,open_date,pnl,prediction,fold,keep
CALLS_1DTE_1515,2025-02-03,-475.0,-511.1165020274819,7,False
CALLS_1DTE_1515,2025-02-04,-485.0,-532.2421808546742,7,False
CALLS_1DTE_1515,2025-02-05,-500.0,-542.2653180980503,7,False
CALLS_1DTE_1515,2025-02-06,555.0,-520.5912359003794,7,False
CALLS_1DTE_1515,2025-02-07,-490.0,-532.0065124812288,7,False
CALLS_1DTE_1515,2025-02-10,535.0,-507.23396600637057,7,False
CALLS_1DTE_1515,2025-02-11,515.0,-527.7252029502903,7,False
CALLS_1DTE_1515,2025-02-12,-480.0,-534.4446485775777,7,False
CALLS_1DTE_1515,2025-02-13,87.0,-536.656517252946,7,False
CALLS_1DTE_1515,2025-02-14,-483.0,-531.9298903740957,7,False
CALLS_1DTE_1515,2025-02-18,-505.0,-526.7439016849593,7,False
CALLS_1DTE_1515,2025-02-19,500.0,-542.0876106429696,7,False
CALLS_1DTE_1515,2025-02-20,540.0,-525.9487608683243,7,False
CALLS_1DTE_1515,2025-02-21,505.0,-521.5443312097524,7,False
CALLS_1DTE_1515,2025-02-24,525.0,-519.6129379452558,7,False
CALLS_1DTE_1515,2025-02-25,515.0,-534.6583387608371,7,False
CALLS_1DTE_1515,2025-02-26,530.0,-521.0161229231995,7,False
CALLS_1DTE_1515,2025-02-27,-485.0,-497.270987162025,7,True
CALLS_1DTE_1515,2025-02-28,530.0,-515.2016335746719,7,False
CALLS_1DTE_1515,2025-03-03,510.0,-516.6675233944485,7,False
CALLS_1DTE_1515,2025-03-04,520.0,-522.0110038043756,7,False
CALLS_1DTE_1515,2025-03-05,520.0,-549.6895659842821,7,False
CALLS_1DTE_1515,2025-03-06,-505.0,-532.0915513430101,7,False
CALLS_1DTE_1515,2025-03-07,505.0,-532.920024430043,7,False
CALLS_1DTE_1515,2025-03-10,505.0,-517.5858578307661,7,False
CALLS_1DTE_1515,2025-03-11,490.0,-529.0230325689228,7,False
CALLS_1DTE_1515,2025-03-12,500.0,-528.7756396010101,7,False
CALLS_1DTE_1515,2025-03-13,-500.0,-517.8066905992076,7,False
CALLS_1DTE_1515,2025-03-14,-495.0,-516.3199121156628,7,False
CALLS_1DTE_1515,2025-03-17,500.0,-544.2148604434078,7,False
CALLS_1DTE_1515,2025-03-18,-530.0,-513.6178109425543,7,False
CALLS_1DTE_1515,2025-03-19,535.0,-556.6440701030754,7,False
CALLS_1DTE_1515,2025-03-20,-266.0,-512.4833253059993,7,False
CALLS_1DTE_1515,2025-03-21,-515.0,-537.4049507549369,7,False
